"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"247046",8645000,111.68020076,0,1,"White",0
"247047",8657600,121.89428863,0,1,"White",0
"247048",8652500,116.2269279,0,1,"White",0
"247049",8642200,120.2672705,0,1,"White",0
"247050",8583700,120.13225428,0,1,"White",0
"247051",283000,9077.9442955,0,1,"White",0
"247052",284000,9189.0501549,0,1,"White",0
"247053",283000,9327.7690423,0,1,"White",0
"247054",283000,9094.5042866,0,1,"White",0
"247055",293000,9153.6592809,0,1,"White",0
"247056",6197580,283.03796878,0,1,"White",0
"247057",6197680,283.00016348,0,1,"White",0
"247058",6199580,261.38914959,0,1,"White",0
"247059",6197680,288.71488506,0,1,"White",0
"247060",6198580,283.43363208,0,1,"White",0
"247061",250,5309.3195331,1,0,"Black",0
"247062",250,5302.0948349,1,0,"Black",0
"247063",250,5254.5664474,1,0,"Black",0
"247064",250,5295.4903599,1,0,"Black",0
"247065",250,5289.8947896,1,0,"Black",0
"247066",22600,4946.0321102,0,1,"White",0
"247067",22600,4921.2236687,0,1,"White",0
"247068",22600,4983.053152,0,1,"White",0
"247069",22600,4990.7211427,0,1,"White",0
"247070",22600,4967.8278506,0,1,"White",0
"247071",-2960,4399.0593872,0,1,"White",0
"247072",-2020,4355.6044803,0,1,"White",0
"247073",50,4450.9933685,0,1,"White",0
"247074",-2540,4413.009685,0,1,"White",0
"247075",430,4364.9783453,0,1,"White",0
"247076",-89820,7379.2526152,0,1,"White",0
"247077",-88220,7370.7422442,0,1,"White",0
"247078",-89020,7358.1098024,0,1,"White",0
"247079",-90620,7374.8522884,0,1,"White",0
