"","NETWORTH","WGT","Black","White","RACE","Forbes_indicator"
"247652",217190,6118.7211075,0,1,"White",0
"247653",215750,6149.1548902,0,1,"White",0
"247654",230400,6190.7970258,0,1,"White",0
"247655",241250,6155.0125337,0,1,"White",0
"247656",20660,4248.916971,0,1,"White",0
"247657",20670,4228.0413845,0,1,"White",0
"247658",20660,4240.3852631,0,1,"White",0
"247659",20670,4231.2213689,0,1,"White",0
"247660",20670,4242.9482114,0,1,"White",0
"247661",18265000,112.82556435,0,1,"White",0
"247662",20938000,145.04902754,0,1,"White",0
"247663",15835000,117.41892156,0,1,"White",0
"247664",14955000,121.50070088,0,1,"White",0
"247665",14407000,121.36429997,0,1,"White",0
"247666",114180,5552.8747892,0,1,"White",0
"247667",113970,5533.2944544,0,1,"White",0
"247668",113790,5556.7812042,0,1,"White",0
"247669",113970,5546.8867575,0,1,"White",0
"247670",113780,5563.4051576,0,1,"White",0
"247671",651000,5169.4183051,1,0,"Black",0
"247672",651000,5449.9269419,1,0,"Black",0
"247673",651000,5465.6067361,1,0,"Black",0
"247674",651000,5372.1660847,1,0,"Black",0
"247675",651000,5495.1725002,1,0,"Black",0
"247676",-550,3720.4593849,0,0,"Other",0
"247677",-450,3671.3724155,0,0,"Other",0
"247678",-560,3745.7513316,0,0,"Other",0
"247679",23550,3731.6502074,0,0,"Other",0
"247680",-550,3695.2253596,0,0,"Other",0
"247681",6654500,2129.76143,0,1,"White",0
"247682",6582500,2130.1901833,0,1,"White",0
"247683",6566500,1965.8640218,0,1,"White",0
"247684",6455500,2172.14986,0,1,"White",0
"247685",6455500,2132.445584,0,1,"White",0
"247686",4267500,1326.934776,0,1,"White",0
"247687",4266000,1366.9934165,0,1,"White",0
"247688",4267000,1279.3603329,0,1,"White",0
"247689",4267500,1343.7798776,0,1,"White",0
"247690",4267000,1332.2825444,0,1,"White",0
"247691",1052000,4676.9936782,0,0,"Hispanic",0
"247692",871500,4949.0961976,0,0,"Hispanic",0
"247693",1214000,4899.3584563,0,0,"Hispanic",0
"247694",946900,4847.7425602,0,0,"Hispanic",0
"247695",927000,4956.3814576,0,0,"Hispanic",0
"247696",4251000,3697.7460689,0,1,"White",0
"247697",4249200,3680.7373709,0,1,"White",0
"247698",4248600,3587.6064134,0,1,"White",0
"247699",4249100,3701.352642,0,1,"White",0
"247700",4248500,3691.8450245,0,1,"White",0
"247701",241100,13252.75781,0,1,"White",0
"247702",223095,13414.959625,0,1,"White",0
"247703",247095,13617.473296,0,1,"White",0
"247704",230095,13276.933498,0,1,"White",0
"247705",229095,13363.293007,0,1,"White",0
"247706",-48750,1509.7371838,0,1,"White",0
"247707",-47450,1498.0366916,0,1,"White",0
"247708",-47550,1501.5928844,0,1,"White",0
"247709",-48950,1512.1978703,0,1,"White",0
"247710",-48150,1504.749477,0,1,"White",0
"247711",1420400,3652.5118661,0,1,"White",0
"247712",1375400,3859.4866588,0,1,"White",0
