"","Percentiles","Year","Networth","Pre-Tax and Post-Transfer","Post-Tax","Post-Tax and Post-Transfer"
"46",0.46,1989,75440.994214,82082.0821227219,75440.994214,82082.0821227219
"47",0.47,1989,80751.499211,85908.1739838146,80751.499211,85908.1739838146
"48",0.48,1989,86101.783272,91298.2371088146,86101.783272,91298.2371088146
"49",0.49,1989,89502.893214,94766.3173969073,89502.893214,94766.3173969073
"50",0.5,1989,93600.13677,100572.044968629,93600.13677,100572.044968629
"51",0.51,1989,99686.333509,106799.484149907,99686.333509,106799.484149907
"52",0.52,1989,105354.85008,111572.971789907,105354.85008,111572.971789907
"53",0.53,1989,109591.32036,116378.936739815,109591.32036,116378.936739815
"54",0.54,1989,116035.52867,121197.489469629,116035.52867,121197.489469629
"55",0.55,1989,120729.45818,126428.436339629,120729.45818,126428.436339629
"56",0.56,1989,126934.99211,133643.050359815,126934.99211,133643.050359815
"57",0.57,1989,135248.81641,141134.102109722,135248.81641,141134.102109722
"58",0.58,1989,141812.36191,147849.462119629,141812.36191,147849.462119629
"59",0.59,1989,146923.97159,152928.594479722,146923.97159,152928.594479722
"60",0.6,1989,154322.87743,160692.813649815,154322.87743,160692.813649815
"61",0.61,1989,161662.11468,167241.755649629,161662.11468,167241.755649629
"62",0.62,1989,168265.43924,174217.695289815,168265.43924,174217.695289815
"63",0.63,1989,176082.02525,180781.240789815,176082.02525,180781.240789815
"64",0.64,1989,183978.16938,189731.530109815,183978.16938,189731.530109815
"65",0.65,1989,193306.35981,198482.924119815,193306.35981,198482.924119815
"66",0.66,1989,201083.16675,206644.933909907,201083.16675,206644.933909907
"67",0.67,1989,206453.34035,215262.387229722,206453.34035,215262.387229722
"68",0.68,1989,216736.2283,221156.990399815,216736.2283,221156.990399815
"69",0.69,1989,224950.60494,229503.292009722,224950.60494,229503.292009722
"70",0.7,1989,232707.52236,238240.082509536,232707.52236,238240.082509536
"71",0.71,1989,241558.36402,248119.893799722,241558.36402,248119.893799722
"72",0.72,1989,254526.33877,259561.660629537,254526.33877,259561.660629537
"73",0.73,1989,264968.34298,271477.505909815,264968.34298,271477.505909815
"74",0.74,1989,283425.82851,288772.107899722,283425.82851,288772.107899722
"75",0.75,1989,293967.28038,301716.896039907,293967.28038,301716.896039907
"76",0.76,1989,309282.21988,313252.824499907,309282.21988,313252.824499907
"77",0.77,1989,323841.35718,330693.928189629,323841.35718,330693.928189629
"78",0.78,1989,342099.9474,346468.342649907,342099.9474,346468.342649907
"79",0.79,1989,364177.32772,370328.479089815,364177.32772,370328.479089815
"80",0.8,1989,376111.04682,385317.884329722,376111.04682,385317.884329722
"81",0.81,1989,395801.68332,400354.370389722,395801.68332,400354.370389722
"82",0.82,1989,411713.30878,417871.761899907,411713.30878,417871.761899907
"83",0.83,1989,433194.00316,440126.132289629,433194.00316,440126.132289629
"84",0.84,1989,458652.60389,466181.418979629,458652.60389,466181.418979629
"85",0.85,1989,491669.22672,497939.715279815,491669.22672,497939.715279815
"86",0.86,1989,527072.59337,533069.914509629,527072.59337,533069.914509629
"87",0.87,1989,577094.76591,583636.406159722,577094.76591,583636.406159722
"88",0.88,1989,623616.38085,628892.392819815,623616.38085,628892.392819815
"89",0.89,1989,658741.29406,664255.980399815,658741.29406,664255.980399815
"90",0.9,1989,731934.77117,734115.317919907,731934.77117,734115.317919907
"91",0.91,1989,792478.50605,797953.413329815,792478.50605,797953.413329815
"92",0.92,1989,892741.63598,898182.050229629,892741.63598,898182.050229629
"93",0.93,1989,998951.73593,1004804.54429981,998951.73593,1004804.54429981
"94",0.94,1989,1127736.4545,1134278.09474972,1127736.4545,1134278.09474972
"95",0.95,1989,1379060.5786,1387312.71864972,1379060.5786,1387312.71864972
"96",0.96,1989,1666205.7496,1668386.29634991,1666205.7496,1668386.29634991
"97",0.97,1989,2033684.7396,2038045.83309981,2033684.7396,2038045.83309981
"98",0.98,1989,2682003.919,2689930.52469963,2682003.919,2689930.52469963
"99",0.99,1989,4616420.0053,4625142.19229963,4616420.0053,4625142.19229963
"100",0.01,1992,-20201.08747,-16948.9670561727,-20201.08747,-16948.9670561727
"101",0.02,1992,-11709.47991,-7295.35003117272,-11709.47991,-7295.35003117272
"102",0.03,1992,-6346.359338,-2647.31220517272,-6346.359338,-2647.31220517272
"103",0.04,1992,-4058.094563,302.404106827281,-4058.094563,302.404106827281
"104",0.05,1992,-2020.108747,1535.92183692728,-2020.108747,1535.92183692728
"105",0.06,1992,-893.8534279,1821.95493382728,-893.8534279,1821.95493382728
"106",0.07,1992,-89.38534279,1875.58613950128,-89.38534279,1875.58613950128
"107",0.08,1992,0,2696.42523405456,0,2696.42523405456
